# ----------------------------------------
# Pages et écrans: Chemin de la page et classe de l'écran
# Compte : Oikos
# Propriété : Oikos US GA4
# ----------------------------------------
# 
# Tous les utilisateurs
# Date de début : 20260101
# Date de fin : 20260331
Chemin de la page et classe de l'écran,Vues,Utilisateurs actifs,Vues par utilisateur actif,Durée d'engagement moyenne par utilisateur actif,Nombre d'événements,Événements clés,Revenu total
/greek-yogurt-recipes/smoothies/recipe/power-berry-freeze-smoothie/,38,15,2.533333333333333,15.533333333333333,79,0,0
/greek-yogurt/pro-yogurt-cultured-ultra-filtered-milk/,38,21,1.8095238095238095,1.5238095238095237,92,0,0
/home-2/stronger-makes-everything-better-2/,38,7,5.428571428571429,57.714285714285715,67,0,0
/all-products/oikos-protein-shakes/product/chocolate,36,23,1.565217391304348,1.0869565217391304,100,0,0
/social/67a29bcb8d43760f691ae6d2,36,36,1,2.111111111111111,180,0,0
/studio/6978e2f6e0ea852dc10616a8,36,3,12,14.666666666666666,111,0,0
/all-products/oikos-triple-zero/,35,15,2.3333333333333335,2.3333333333333335,86,0,0
/greek-yogurt-recipes/breakfast/recipe/yogurt-fruit-and-almond-parfaits/,35,17,2.0588235294117645,14.235294117647058,95,0,0
/greek-yogurt-recipes/desserts/recipe/cheesecake-with-lemon-curd/,34,18,1.8888888888888888,21.27777777777778,94,0,0
/greek-yogurt-recipes/dips-and-dressings/recipe/creamy-spiced-hummus/,34,19,1.7894736842105263,10.526315789473685,83,0,0
/greek-yogurt/remix/,34,2,17,169.5,98,0,0
/stronger-makes-everything-better-2/,34,7,4.857142857142857,100.71428571428571,62,0,0
/all-products/triple-zero/product/plain-quart,33,19,1.736842105263158,1.263157894736842,95,0,0
/content/edp/noram/oikos/us/en/stronger-makes-everything-better-2.html,33,4,8.25,91,76,0,0
/greek-yogurt-recipe/,33,21,1.5714285714285714,0.3333333333333333,76,0,0
/all-products/oikos-protein-shakes/product/vanilla,32,22,1.4545454545454546,0.3181818181818182,88,0,0
/esb/51/passivecooling/,32,15,2.1333333333333333,3.466666666666667,89,0,0
